,ACTR3B,ANLN,BAG1,BCL2,BIRC5,BLVRA,CCNB1,CCNE1,CDC20,CDC6,CDCA1,CDH3,CENPF,CEP55,CXXC5,EGFR,ERBB2,ESR1,EXO1,FGFR4,FOXA1,FOXC1,GPR160,GRB7,KIF2C,KNTC2,KRT14,KRT17,KRT5,MAPT,MDM2,MELK,MIA,MKI67,MLPH,MMP11,MYBL2,MYC,NAT1,ORC6L,PGR,PHGDH,PTTG1,RRM2,SFRP1,SLC39A6,TMEM45B,TYMS,UBE2C,UBE2T
202,-0.431,-3.582,2.307,0.622,-1.921,1.02,-2.8280000000000003,-1.156,-2.454,-2.307,-2.24,-0.539,-2.05,-2.04,1.172,-0.305,3.5439999999999996,4.781000000000001,-2.293,-1.037,3.3139999999999996,0.38,1.305,1.6369999999999998,-3.752,-1.8980000000000001,-0.826,-2.5839999999999996,-1.896,1.37,0.58,-1.56,-3.3760000000000003,-0.726,1.0290000000000001,1.456,-2.699,-1.5819999999999999,5.245,-3.03,1.172,-3.987,-2.6710000000000003,-3.642,-2.877,3.719,0.0,-1.62,-1.12,-1.749
203,-0.27699999999999997,-2.367,-0.7659999999999999,0.07200000000000001,-2.053,0.703,-1.916,-1.3659999999999999,-1.4169999999999998,-2.61,-1.047,0.9940000000000001,-0.938,-1.7,0.731,-0.531,2.745,3.7939999999999996,-1.3840000000000001,-1.4809999999999999,1.9680000000000002,-1.33,1.382,1.004,-2.374,-2.061,0.13,-0.593,-0.883,0.9890000000000001,0.365,-2.272,-1.08,-1.3330000000000002,0.5479999999999999,3.475,-1.431,-1.929,4.058,-2.407,1.015,-2.108,-1.85,-2.449,-1.53,0.02,-0.643,-2.89,-1.551,-1.161
204,-0.66,-1.271,2.5069999999999997,0.26,0.433,0.9540000000000001,-1.699,-0.976,-1.156,-2.324,-0.24100000000000002,0.133,-0.795,-0.9,0.659,-0.322,2.421,2.7910000000000004,-1.589,-1.383,2.291,-1.77,0.6709999999999999,0.737,-1.756,-1.421,0.049,-0.578,-1.1320000000000001,1.0959999999999999,0.078,-0.632,-1.635,-0.644,0.11199999999999999,3.5980000000000003,-0.596,0.39299999999999996,2.927,-0.41100000000000003,0.39799999999999996,-3.3560000000000003,-1.4269999999999998,-1.6380000000000001,-2.046,3.237,-1.9680000000000002,-1.04,-0.826,-0.612
205,-0.281,-4.128,-0.10400000000000001,2.149,-2.667,-0.335,-3.247,-1.4380000000000002,-1.4969999999999999,-3.554,-4.013999999999999,1.581,-2.912,-4.04,0.10300000000000001,0.159,2.1790000000000003,1.331,-2.9189999999999996,-1.8659999999999999,0.563,1.22,-0.86,1.054,-3.1430000000000002,-3.112,3.214,2.474,2.012,0.0,0.738,-3.5380000000000003,0.93,-2.282,2.678,2.702,-2.813,-0.937,-0.6779999999999999,-3.779,1.6780000000000002,-1.784,-2.585,-4.521,3.9589999999999996,-1.5319999999999998,-2.165,-4.08,-2.088,-2.853
206,-0.171,0.0,-0.085,1.374,-2.261,0.457,-2.303,-0.8270000000000001,-1.963,-2.3369999999999997,-2.6519999999999997,-0.501,-3.263,-2.05,-0.27,-0.155,2.1069999999999998,1.111,-2.309,-1.831,1.952,-2.2,1.848,1.114,-2.867,-1.911,1.547,-0.45899999999999996,0.018000000000000002,-0.115,0.9520000000000001,-2.259,0.09,-2.8930000000000002,1.864,4.75,-2.359,-1.7519999999999998,2.815,0.0,0.043,-3.773,-1.4609999999999999,-3.845,-1.317,1.474,-1.639,-2.69,-0.9079999999999999,-0.89
207,-0.49,-3.969,0.242,0.797,-3.049,0.318,-3.287,-1.746,-2.011,-2.9930000000000003,-3.36,1.676,-3.45,-2.45,-0.019,0.040999999999999995,0.975,2.648,-3.4560000000000004,-0.7440000000000001,2.153,-1.17,1.578,0.541,-3.07,-2.541,0.42200000000000004,-0.161,-1.187,0.48,0.47700000000000004,-2.7569999999999997,-1.214,-3.136,1.4609999999999999,5.202000000000001,-3.1260000000000003,-3.1639999999999997,2.702,-3.562,0.664,-3.239,-2.0580000000000003,-3.312,-0.341,-0.9279999999999999,0.42100000000000004,-2.71,-2.2030000000000003,-2.275
208,0.19899999999999998,-2.783,0.153,0.534,-2.226,0.32299999999999995,-2.638,-1.556,-2.336,-2.5810000000000004,-2.046,1.422,-1.909,-2.6,0.669,-0.032,3.299,3.7910000000000004,-2.555,-2.195,2.8160000000000003,-2.08,-0.025,0.6679999999999999,-2.5660000000000003,-2.339,-0.51,-2.435,-1.4240000000000002,0.767,0.584,-2.103,-3.094,-1.08,0.9840000000000001,5.692,-2.463,-1.518,3.5589999999999997,-2.659,0.9470000000000001,-2.741,-1.984,-3.215,-2.679,1.153,-1.925,-2.62,-1.278,-1.5
209,-0.081,-4.508,-0.5529999999999999,-0.142,-4.596,0.8590000000000001,-4.065,-1.6159999999999999,-3.197,-4.007,-3.904,-1.014,-3.9760000000000004,-4.35,-0.868,0.29600000000000004,2.653,3.818,0.0,-2.43,2.536,-1.77,1.926,0.534,-4.333,-3.2460000000000004,-0.33899999999999997,-1.899,-1.557,0.22399999999999998,0.157,-3.8710000000000004,-1.525,-3.1210000000000004,1.119,4.974,-3.7539999999999996,-3.786,4.1,0.0,-0.134,-3.884,-3.511,-4.954,-2.535,-0.182,-1.3940000000000001,-5.49,-2.255,-2.374
210,-1.6440000000000001,-3.708,-0.69,0.252,-3.0,0.992,-1.969,-1.3559999999999999,-1.901,-1.962,-2.7289999999999996,0.611,-3.286,-2.12,-0.213,-0.172,4.54,3.18,-3.156,-1.535,2.505,-1.23,2.516,1.275,-2.8310000000000004,-2.244,-0.317,-1.8940000000000001,-1.9609999999999999,0.0,-0.16399999999999998,-2.246,-2.826,-3.5610000000000004,0.355,4.287,-3.07,-1.765,4.763999999999999,0.0,1.07,-2.407,-2.346,-3.4219999999999997,-1.275,0.275,-1.335,-3.26,-1.745,-2.1319999999999997
211,0.092,0.0,1.034,0.305,-2.326,0.8320000000000001,-2.206,-1.3419999999999999,-2.378,0.0,-3.802,1.7990000000000002,-3.3930000000000002,-2.49,0.767,0.128,2.799,1.126,-3.258,-0.765,2.17,-0.47,0.9570000000000001,0.7609999999999999,-2.76,-2.946,2.4459999999999997,1.208,0.725,0.0,0.146,-2.861,2.9389999999999996,-3.377,1.092,2.055,-2.8280000000000003,-0.7340000000000001,0.758,0.0,-0.016,-1.615,-2.511,-3.111,2.333,1.7930000000000001,-0.9540000000000001,-2.5,-1.857,-2.165
